Class name,Description
Grass Healthy,Lush green patches spread evenly across the vibrant open ground.
Grass Healthy,"Dense vegetation with bright green tones and soft, upright blades."
Grass Healthy,Evenly distributed green layers covering the entire ground smoothly.
Grass Healthy,Thick and upright growth with consistent fresh green color.
Grass Healthy,Fresh green layer forming continuous coverage over flat surfaces.
Grass Healthy,Smooth terrain blanketed in vibrant and flourishing green vegetation.
Grass Healthy,"Uniform green covering with soft, pliable texture and glossy sheen."
Grass Healthy,"Bright green blades standing tall in thick, even clusters."
Grass Healthy,Soft green mat stretching evenly across the open area.
Grass Healthy,Clean green carpet with upright leaf blades forming dense patches.
Grass Healthy,Deep green growth filling the landscape with consistent density.
Grass Healthy,Low-lying greenery evenly spaced and richly colored.
Grass Healthy,Balanced and thick green texture blanketing open flat surfaces.
Grass Healthy,Upright and clustered foliage radiating a rich green hue.
Grass Healthy,Bright green surface offering soft texture and uniform coverage.
Grass Healthy,Flourishing growth with saturated green tones and smooth layout.
Grass Healthy,Broad green field filled with thick and lively vegetation.
Grass Healthy,Smooth and vibrant green floor blanketing the entire plain.
Grass Healthy,"Fresh, uniform vegetation covering terrain with bright tones."
Grass Healthy,Robust green patches stretching evenly across the visible field.
Grass Healthy,Glossy foliage growing in clusters with fresh green appearance.
Grass Healthy,Consistent growth forming a seamless green surface throughout.
Grass Healthy,Thick and moist growth painted in deep green colors.
Grass Healthy,"Healthy green covering showing balanced, upright leaf blades."
Grass Healthy,Fresh green floor formed from close-packed and soft vegetation.
Grass Healthy,Radiant green mats lying flat across the open terrain.
Grass Healthy,Close-knit green growth forming a plush natural carpet.
Grass Healthy,Saturated foliage with bright tones and evenly arranged layout.
Grass Healthy,Uniform spread of dense green leaves across wide areas.
Grass Healthy,Consistent and lush green surface formed by healthy vegetation.
Grass Healthy,"Smooth, unbroken green layers with thick and upright blades."
Grass Healthy,Vivid green terrain stretching continuously without bare patches.
Grass Healthy,"Flat surface layered in bright, robust plant growth."
Grass Healthy,Intensely green coverage with soft leaf texture and volume.
Grass Healthy,Full and even spread of vibrant green groundcover.
Grass Healthy,Continuous thick vegetation with deep tones and neat spacing.
Grass Healthy,Fresh greenery distributed consistently across the entire ground.
Grass Healthy,Lively and lush plant cover with saturated green tones.
Grass Healthy,Ground filled with dense and radiant low-lying growth.
Grass Healthy,Bright green blades densely packed and uniformly distributed.
Grass Healthy,Healthy layer of vegetation forming thick and even spread.
Grass Healthy,Shiny green blades standing tall in compact arrangements.
Grass Healthy,Unbroken carpet of fresh green color and balanced structure.
Grass Healthy,Dense and vibrant spread creating smooth green surfaces.
Grass Healthy,Green covering in soft waves spread throughout flat terrain.
Grass Healthy,Flat plain coated in rich green with upright formations.
Grass Healthy,Soft leafy coverage blanketing ground with vivid green shades.
Grass Healthy,Even clusters of glossy foliage radiating fresh green hues.
Grass Healthy,Leafy texture spread uniformly with lush green pigmentation.
Grass Healthy,"Surface filled with thick, bright vegetation showing vitality."
Grass Healthy,Evenly formed mats of green with smooth and plush layers.
Grass Healthy,"Ground blanketed in soft, springy vegetation with radiant colors."
Grass Healthy,"Bright, well-formed layers of lush growth across the area."
Grass Healthy,Deep green hue covering landscape with consistent texture.
Grass Healthy,Well-spread foliage with tall and straight green blades.
Grass Healthy,Lush and firm undergrowth stretching out in all directions.
Grass Healthy,"Rich, compact foliage forming solid green ground cover."
Grass Healthy,Dense green floor with no interruptions or visible breaks.
Grass Healthy,"Smooth expanse of consistent, healthy vegetation and texture."
Grass Healthy,Radiant growth giving uniform green shade to terrain.
Grass Healthy,Healthy green tones filling space with soft vegetation.
Grass Healthy,Plush and full surface layered in leafy green mats.
Grass Healthy,Dense green cover uniformly spread over a flat plain.
Grass Healthy,Close-knit green growth displaying bright and energetic appearance.
Grass Healthy,Vibrant and thick plant layer lying across the ground.
Grass Healthy,Spongy terrain with a deep green spread throughout.
Grass Healthy,Bright vegetation covering ground in thick and clean layers.
Grass Healthy,Uniform color and texture across well-maintained green surface.
Grass Healthy,"Flat land fully blanketed in bright, healthy foliage."
Grass Healthy,Glossy green floor stretching endlessly across visible range.
Grass Healthy,Clean growth covering land with dense and vivid tones.
Grass Healthy,Uninterrupted green mat of low foliage over flat terrain.
Grass Healthy,Healthy growth forming lush and even patches across landscape.
Grass Healthy,Thick green surface forming natural mat without gaps.
Grass Healthy,Continuous foliage creating soft and vibrant green visuals.
Grass Healthy,Bright color and smooth layout dominating visible terrain.
Grass Healthy,"Low, thick layer of greenery evenly spread out."
Grass Healthy,"Flat surface with smooth, lush and even vegetation."
Grass Healthy,Fresh growth forming vivid and well-spaced leafy clusters.
Grass Healthy,Saturated green field appearing uniform and full of vitality.
Grass Healthy,Compact and soft green texture blanketing the ground.
Grass Healthy,Widespread low growth forming bright green appearance.
Grass Healthy,"Thick, evenly placed vegetation coating the open area."
Grass Healthy,Vibrant green tones spreading across full terrain width.
Grass Healthy,Smooth terrain with clean and balanced green foliage.
Grass Healthy,Dense clusters of bright vegetation growing in symmetry.
Grass Healthy,Flat green landscape radiating health and brightness.
Grass Healthy,Even mats of vegetation filling space with deep tones.
Grass Healthy,Surface filled with low and plush green leaves.
Grass Healthy,Glossy greenery covering land without barren spots.
