Class name,Description
Alfalfa,Dense leafy canopy with soft green tones across wide patches.
Alfalfa,"Tall, upright stalks with clustered foliage forming lush mats."
Alfalfa,Rich green surface made up of narrow serrated leaflets.
Alfalfa,Uniform coverage with consistent green blades and soft edges.
Alfalfa,Uniform green coloration with occasional purplish tinges along the stems.
Alfalfa,"Bushy form with delicate, fine-textured leaves in layered groups."
Alfalfa,Upright leafy stems with faint purplish hue on smaller veins.
Alfalfa,Compact structure with vibrant greenery layered across ground.
Alfalfa,Medium-tall plants with fine compound leaves branching widely.
Alfalfa,Thin leaflets arranged in dense sets with muted green coloring.
Alfalfa,Mottled green tones forming soft mounds with rounded edges.
Alfalfa,Short-to-medium height vegetation with evenly distributed foliage.
Alfalfa,Smooth green coverage showing slight variation in tonal depth.
Alfalfa,Spreading growth pattern with closely packed leaf clusters.
Alfalfa,Low-set shrubs with small leaves forming consistent surface coverage.
Alfalfa,Vivid green stems surrounded by three-lobed compound leaves.
Alfalfa,Lush coverage formed by upright stalks and wide leaflets.
Alfalfa,"Leafy bunches forming a fine, feathery ground layer."
Alfalfa,Consistent green tone with sparse purplish hints along stalks.
Alfalfa,"Small leaves tightly spaced, giving a textured carpet-like look."
Alfalfa,Rounded tips of slender leaflets radiate from central stem.
Alfalfa,Rich greenery with layered foliage and faint shine under light.
Alfalfa,Uniformly shaped leaves creating a cohesive appearance from afar.
Alfalfa,Short plants with compact leaves grouped in tight sets.
Alfalfa,Pale green accents appear along mid-veins of main foliage.
Alfalfa,Low shrubs with broad foliage tightly hugging ground surface.
Alfalfa,Gentle variation of greens across dense upright clusters.
Alfalfa,Soft leafy layers with subtle veins and consistent spacing.
Alfalfa,"Green cover made up of slender, evenly spaced stems."
Alfalfa,"Short upright plants with smooth, compound leaf structures."
Alfalfa,Wide patches of green featuring delicate stemmed growths.
Alfalfa,Narrow leafy extensions form even textured canopy across terrain.
Alfalfa,Thin stalks branch out with compact green appendages.
Alfalfa,"Lush foliage evenly distributed in tight, flat clusters."
Alfalfa,Dense upright growths with high leaf surface area.
Alfalfa,Consistent vertical growth pattern with minor branching below canopy.
Alfalfa,Shiny leaf tops with matte undersides covering low ground.
Alfalfa,Pale green margins accentuate deeper green foliage tones.
Alfalfa,Fine-textured foliage forming dome-shaped coverage.
Alfalfa,Branching stems with thin leaves giving a bushy appearance.
Alfalfa,Dense leaf clusters spread evenly over surface layer.
Alfalfa,Medium-sized vegetation with bright green finely divided leaflets.
Alfalfa,Small rounded leaves arranged in triplets along tall stems.
Alfalfa,Leafy formations form a consistent pattern across landscape.
Alfalfa,Distinct tripartite leaves extending from sturdy vertical stems.
Alfalfa,Pale veins running through the center of darker leaf blades.
Corn-no till,Tall vertical stalks with broad green blades arranged in rows.
Corn-no till,Broad leaves extend from thick stems across cultivated plots.
Corn-no till,Upright green structures with alternating wide leaves on tall forms.
Corn-no till,Dense green coverage marked by linear vertical plant formations.
Corn-no till,Straight rows of tall plants with vibrant green leaves.
Corn-no till,"Thick stalks topped with elongated, parallel-veined leaf blades."
Corn-no till,Evenly spaced green structures stretching across cultivated terrain.
Corn-no till,Large green blades attached to sturdy central stalks.
Corn-no till,Tall leafy formations aligned uniformly across agricultural land.
Corn-no till,Vertical growth with long green leaves and segmented stems.
Corn-no till,Wide rows of tall vegetation with dense green coloring.
Corn-no till,Symmetrical plant rows formed by upright leafy stems.
Corn-no till,Long narrow blades extending from robust central structures.
Corn-no till,Dense upright structures with tall foliage and thick bases.
Corn-no till,Alternating green leaves create a layered vertical pattern.
Corn-no till,Prominent veins run across large green foliage patches.
Corn-no till,"Uniform height growth in tight, parallel row formations."
Corn-no till,Vibrant green stalks spaced evenly across large fields.
Corn-no till,Thin leaf blades curve gently from upright vertical stems.
Corn-no till,Ground covered with spaced green lines of tall plants.
Corn-no till,Green blades reach out horizontally from segmented upright stalks.
Corn-no till,Even patches of tall foliage stretch across cultivated zones.
Corn-no till,Rows of vertical growth with matching green coloration.
Corn-no till,Leaf tips point outward from tall central stem lines.
Corn-no till,Layered foliage grows along thick central stalks in rows.
Corn-no till,Regularly arranged plant structures in straight green lines.
Corn-no till,Uniform blade shapes emerge from thick segmented stems.
Corn-no till,Vertical vegetation with broad leaves in dense linear formation.
Corn-no till,Repeated stalk shapes dominate open cultivated patches.
Corn-no till,Green vertical columns with attached alternating leaf blades.
Corn-no till,Strong upright form with evenly spaced green components.
Corn-no till,Elongated blades extend outward from tall leaf bases.
Corn-no till,Green lines of growth organized into narrow cultivated bands.
Corn-no till,Tall segments rise from soil with dense leafy layers.
Corn-no till,Vertical stalks spaced methodically across cultivated terrain.
Corn-no till,Strong stalks support alternating wide green leaves.
Corn-no till,Wavy blade edges protrude from tall narrow stems.
Corn-no till,Parallel rows of structured green stalks form repeating pattern.
Corn-no till,Consistent rows of vertical green forms dominate the field.
Corn-no till,Clustered leaf blades show consistent orientation from base.
Corn-no till,Segmented green columns grow in evenly spaced linear patches.
Corn-no till,Tall linear structures with green blades at intervals.
Corn-no till,Rows of upright plants with large flat leaves.
Corn-no till,Structured planting results in tall uniform green vegetation.
Corn-no till,Long narrow blades form angular shapes along thick stalks.
Corn-no till,Repetitive vertical formations create strong visual linearity.
Corn-no till,Vivid green upright forms stretch over flat terrain.
Corn-no till,Thick bases support tall green leaf formations.
Corn-no till,Green strips form layered patterns over stalks.
Corn-no till,Consistently spaced vertical lines dominate the cultivated scene.
Corn-no till,Organized rows with dense green upright components.
Corn-no till,Wavy vertical blades reflect soft sunlight across plot.
Corn-no till,Vegetation forms tall lines with evenly spaced growth.
Corn-no till,Broad foliage curls around strong upright growth columns.
Corn-no till,Leafy stalks rise vertically in methodical ground patterns.
Corn-no till,Elongated green structures spaced uniformly in rows.
Corn-no till,Wide green blades extend from tall segmented columns.
Corn-no till,Vertical structures topped with leafy projections in symmetry.
Corn-no till,Dense upright growth with consistent blade orientation.
Corn-no till,Alternating leaf blades curve from main vertical stalk.
Corn-no till,Crisp green forms arranged precisely in line formations.
Corn-no till,Straight-line growth of repeated tall foliage structures.
Corn-no till,Structured green segments tower evenly above soil layer.
Corn-no till,Green vertical repetitions arranged across open farmland.
Corn-no till,Outward-pointing leaf blades grow from sturdy green bases.
Corn-no till,Layered leafy forms appear in repeated field patterns.
Corn-no till,Wavy leaf edges reflect sunlight in clean rows.
Corn-no till,Parallel vegetation stretches across wide terrain zones.
Corn-no till,Upright segments with blade pairs positioned on either side.
Corn-no till,Uniform stalk heights with broad leaf attachments.
